Centro Poblado,Aeropuerto,Distancia(Km),Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,Tipo_Cobertura
CUCURUMANA,ALMIRANTE PADILLA,14.1393747182804,True,SHANGRI-LA,40.6900439863866,PUERTO BOLIVAR,122.717568224168,ALFONSO LOPEZ PUMAREJO,124.675296438092,ALMIRANTE PADILLA,14.1393747182804,Internacional
GUABAL 2,CACHIMBALITO - CA,7.06576994964073,True,CACHIMBALITO - CA,7.06576994964073,FARFAN HERIBERTO GIL MAR,103.84122417614,GUILLERMO LEON VALENCIA,83.6132220138979,ALFONSO BONILLA ARAGON,40.5511844434067,Aeródromo
GUAPI,JUAN CASIANO,1.15369028931094,True,ISCUANDE,17.3020478377936,JUAN CASIANO,1.15369028931094,LA FLORIDA,127.53609905571,ALFONSO BONILLA ARAGON,199.02899675018,Regional
URIBE URIBE (EL NARANJO),JUAN CASIANO,24.4285590629638,True,ISCUANDE,26.0293351013609,JUAN CASIANO,24.4285590629638,ANTONIO NARIÑO,123.429281985339,ALFONSO BONILLA ARAGON,197.665670661616,Regional
QUIROGA,JUAN CASIANO,9.30322424561394,True,ISCUANDE,25.0964496934594,JUAN CASIANO,9.30322424561394,LA FLORIDA,135.61134795636,ALFONSO BONILLA ARAGON,190.845244176269,Regional
CHUARE,JUAN CASIANO,28.6963644355039,True,TIMBIQUI,31.5716304128796,JUAN CASIANO,28.6963644355039,GUILLERMO LEON VALENCIA,115.720893583244,ALFONSO BONILLA ARAGON,182.851501134926,Regional
SAN JOSE DE GUARE,JUAN CASIANO,17.1706901250231,True,TIMBIQUI,20.2953632133965,JUAN CASIANO,17.1706901250231,GUILLERMO LEON VALENCIA,127.952090669206,ALFONSO BONILLA ARAGON,183.652105844164,Regional
CURVALITO,SIMON BOLIVAR,21.2255500379573,True,LA YE,29.0795604862323,LAS BRUJAS,248.719066665758,ALFONSO LOPEZ PUMAREJO,128.404318883158,SIMON BOLIVAR,21.2255500379573,Internacional
PLAYA GRANDE,CONDOTO MANDINGA,7.8854923816475,True,PIZARRO,70.0598966084297,CONDOTO MANDINGA,7.8854923816475,EL CARAÑO,67.5126796541792,MATECAÑA,115.644808249173,Regional
TAPARAL,BUENAVENTURA-GERARDO TOBAR LOPEZ,12.1010513514024,True,EDGAR CALDAS POTES-CA,69.2404408210934,FARFAN HERIBERTO GIL MAR,102.366134499348,BUENAVENTURA-GERARDO TOBAR LOPEZ,12.1010513514024,ALFONSO BONILLA ARAGON,82.5908216941843,Nacional
DAGUA,LAS AGUILAS -CA,26.983056389579,True,LAS AGUILAS -CA,26.983056389579,FARFAN HERIBERTO GIL MAR,70.8814717220214,BUENAVENTURA-GERARDO TOBAR LOPEZ,37.9648335423166,ALFONSO BONILLA ARAGON,36.3771492816161,Internacional
DAPA EL RINCÓN,LAS AGUILAS -CA,10.0198802167009,True,LAS AGUILAS -CA,10.0198802167009,FARFAN HERIBERTO GIL MAR,70.2101643492352,BUENAVENTURA-GERARDO TOBAR LOPEZ,54.7883591972096,ALFONSO BONILLA ARAGON,20.7644763694139,Internacional
